[INFO  13:32:49] Start training with parametrization:
{
    "batch_size": 100,
    "beta": 1,
    "c_energy": "squared_error",
    "dataset": "mnist",
    "dimensions": [
        784,
        1000,
        10
    ],
    "dynamics": {
        "dt": 0.1,
        "n_relax": 50,
        "tau": 1,
        "tol": 0
    },
    "energy": "restr_hopfield",
    "epochs": 100,
    "fast_ff_init": false,
    "learning_rate": 0.001,
    "log_dir": "",
    "nonlinearity": "sigmoid",
    "optimizer": "adam",
    "seed": 2019
}
[INFO  15:32:07] 30%:	E: -9427.82	dE -1.37	batch_acc 1.0000
[INFO  15:32:39] 40%:	E: -9890.57	dE -2.03	batch_acc 0.9600
[INFO  15:33:11] 50%:	E: -9824.77	dE -1.57	batch_acc 0.9700
[INFO  15:33:43] 60%:	E: -9794.16	dE -1.54	batch_acc 0.9800
[INFO  15:34:15] 70%:	E: -9821.07	dE -1.74	batch_acc 0.9700
[INFO  15:34:47] 80%:	E: -9836.46	dE -1.22	batch_acc 0.9900
[INFO  15:35:19] 90%:	E: -9807.07	dE -1.80	batch_acc 0.9500
[INFO  15:36:16] epoch: 21 	 test_acc: 0.9674 	 mean_E: -9925.6420
[INFO  15:36:17] 0%:	E: -9796.26	dE -2.16	batch_acc 0.9700
[INFO  15:36:49] 10%:	E: -9579.82	dE -1.92	batch_acc 0.9700
[INFO  15:37:21] 20%:	E: -9812.52	dE -1.95	batch_acc 0.9700
[INFO  15:37:53] 30%:	E: -9634.29	dE -1.47	batch_acc 0.9700
[INFO  15:38:25] 40%:	E: -9818.84	dE -1.79	batch_acc 0.9700
[INFO  15:38:57] 50%:	E: -10153.93	dE -1.78	batch_acc 0.9900
[INFO  15:39:30] 60%:	E: -9801.48	dE -1.48	batch_acc 0.9900
[INFO  15:40:02] 70%:	E: -9793.32	dE -1.20	batch_acc 0.9900
[INFO  15:40:34] 80%:	E: -10022.63	dE -1.20	batch_acc 0.9800
[INFO  15:41:06] 90%:	E: -9756.21	dE -1.49	batch_acc 0.9800
[INFO  15:42:03] epoch: 22 	 test_acc: 0.9701 	 mean_E: -10040.6454
[INFO  15:42:04] 0%:	E: -9780.55	dE -1.29	batch_acc 0.9800
[INFO  15:42:36] 10%:	E: -9960.63	dE -2.42	batch_acc 0.9500
[INFO  15:43:08] 20%:	E: -9902.86	dE -1.24	batch_acc 0.9900
